frame_index,timestamp,raw_total_keypoints,masked_total_keypoints,raw_predicted_mask_region_keypoints,masked_predicted_mask_region_keypoints,predicted_mask_region_pixels,predicted_mask_region_keypoint_delta_masked_minus_raw,total_keypoint_delta_masked_minus_raw
0,47.998768091,1000,1000,3,43,25384,40,0
1,48.098175764,1000,1000,6,87,33408,81,0
2,48.197431803,1000,1000,5,127,32200,122,0
3,48.296702862,1000,1000,0,95,58984,95,0
4,48.396187782,1000,1000,0,51,58557,51,0
5,48.495908022,1000,1000,1,72,82694,71,0
6,48.595888615,1000,1000,0,88,90195,88,0
7,48.695979357,1000,1000,1,94,152769,93,0
8,48.796189785,1000,1000,1,72,136442,71,0
9,48.896388292,1000,1000,20,15,145961,-5,0
10,48.996518612,1000,1000,26,30,122790,4,0
11,49.096705198,1000,1000,40,44,147800,4,0
12,49.197072029,1000,1000,40,52,127321,12,0
13,49.297509432,1000,1000,49,70,132790,21,0
14,49.397806168,1000,1000,53,67,109655,14,0
15,49.497978926,1000,1000,70,77,122009,7,0
16,49.597905874,1000,1000,58,73,102195,15,0
17,49.697580338,1000,1000,69,71,103480,2,0
18,49.797036648,1000,1000,85,84,89844,-1,0
19,49.896531582,1000,1000,114,86,85137,-28,0
20,49.996775627,1000,1000,109,73,75390,-36,0
21,50.097497463,1000,1000,119,78,67062,-41,0
22,50.198122501,1000,1000,147,75,69639,-72,0
23,50.298561811,1000,1000,212,69,84827,-143,0
24,50.398726463,1000,1000,226,78,86564,-148,0
25,50.498614311,1000,1000,261,72,97933,-189,0
26,50.598130941,1000,1000,249,79,101087,-170,0
27,50.697379589,1000,1000,245,91,109519,-154,0
28,50.79656744,1000,1000,240,92,113487,-148,0
29,50.89588356,1000,1000,250,89,123129,-161,0
30,50.995526791,1000,1000,262,91,126673,-171,0
31,51.095444679,1000,1000,259,81,134683,-178,0
32,51.195537567,1000,1000,273,85,139121,-188,0
33,51.295631409,1000,1000,283,120,147705,-163,0
34,51.395791054,1000,1000,296,117,152295,-179,0
35,51.495971441,1000,1000,270,117,161668,-153,0
36,51.596059561,1000,1000,252,115,167046,-137,0
37,51.696075678,1000,1000,271,132,181856,-139,0
38,51.796038151,1000,1000,282,113,181337,-169,0
39,51.895897865,1000,1000,274,71,172095,-203,0
40,51.995674849,1000,1000,270,65,166374,-205,0
41,52.095551252,1000,1000,260,61,162707,-199,0
42,52.19541955,1000,1000,275,70,164003,-205,0
43,52.295188904,1000,1000,275,33,173544,-242,0
44,52.394896269,1000,1000,282,46,178146,-236,0
45,52.494737148,1000,1000,271,51,169323,-220,0
46,52.594790697,1000,1000,258,44,165088,-214,0
47,52.694966078,1000,1000,237,39,164424,-198,0
48,52.795270681,1000,1000,232,32,164416,-200,0
49,52.895506382,1000,1000,260,53,163645,-207,0
50,52.995481253,1000,1000,230,129,164098,-101,0
51,53.095154524,1000,1000,173,151,174876,-22,0
52,53.194663525,1000,1000,163,122,187104,-41,0
53,53.294150829,1000,1000,78,132,165888,54,0
54,53.393703938,1000,1000,61,123,165888,62,0
55,53.493365049,1000,1000,75,129,165888,54,0
56,53.593119144,1000,1000,73,154,165888,81,0
57,53.692951441,1000,1000,47,132,165888,85,0
58,53.79287529,1000,1000,21,131,165888,110,0
59,53.892828941,1000,1000,7,140,165888,133,0
