path,artifact_type,exists,size_bytes,sha256,row_count,generated_phase,role,expected_upstream_dependencies
tools/build_diverse_raw_evidence_packet_p206.py,script,True,27694,b52c55517a39c294d5dd31e648181dbf045a7fdd0ed82ef359b0f7662086ec84,,P206,producer_script,P203 raw segmentation evidence index
paper/evidence/raw_evidence_diverse_packet_p206.json,evidence,True,68011,241ef9feab26c562fcf3b06ea2c8b73f74c11546bfb77ecaac4ca49387ffdb8b,32,P206,diverse_packet_json,paper/evidence/raw_segmentation_evidence_index_p203.json
paper/evidence/raw_evidence_diverse_packet_p206.csv,evidence,True,39637,8db7e9de20e2dd048c14b458407a082428e0d97ab0044ec3aafe559886b89b7e,32,P206,diverse_packet_csv,paper/evidence/raw_segmentation_evidence_index_p203.csv
paper/export/raw_evidence_diverse_packet_p206.md,report,True,10393,5476e92cbdcef3fe26d83dec2078e2fed4c81a140e9c4b5dcc61348ae100444e,,P206,diverse_packet_report,paper/evidence/raw_evidence_diverse_packet_p206.json
paper/evidence/raw_evidence_diverse_packet_triage_p206.json,evidence,True,191331,9b0645f4a5a8dea29e9d5ef757c21bcd1c1bac49d82dbfecd6cbfc863544063b,32,P206,triage_json,paper/evidence/raw_evidence_diverse_packet_p206.json
paper/evidence/raw_evidence_diverse_packet_triage_p206.csv,evidence,True,12507,49c4b09c206ab51e3bee74225db4496a8cf7ee88ef01ba76319331a091c67586,32,P206,triage_csv,paper/evidence/raw_evidence_diverse_packet_p206.csv
paper/export/raw_evidence_diverse_packet_triage_p206.md,report,True,2652,6858cc21b4de05c329f58c78a0e5e05de16eca3ec56815997377bee7930c4e76,,P206,triage_report,paper/evidence/raw_evidence_diverse_packet_triage_p206.json
tools/build_evidence_quality_notes_p207.py,script,True,20026,fb018520a3f1d8943f35ba9adbc141ec8f8556794812d85a832f03a587ed2059,,P207,producer_and_validator_script,P206 diverse packet
paper/evidence/raw_evidence_quality_notes_p207.json,evidence,True,61818,20ae5ff77e97917173ad78edb7616239819234213b61f3912c0e10934f0a48bd,32,P207,blank_quality_notes_json,paper/evidence/raw_evidence_diverse_packet_p206.json
paper/evidence/raw_evidence_quality_notes_p207.csv,evidence,True,32942,1601e75e3c71f9c03489e39bba1b381fd06758cbbe9c5cabf0683f7418eda830,32,P207,blank_quality_notes_csv,paper/evidence/raw_evidence_diverse_packet_p206.csv
paper/export/raw_evidence_quality_notes_protocol_p207.md,report,True,3068,d27aaebf27c4f921ba711346f27ed26635647692903d690f9c6b34ca777a9ca8,,P207,quality_notes_protocol,paper/evidence/raw_evidence_quality_notes_p207.json
tools/summarize_evidence_quality_notes_p208.py,script,True,17495,5455bea07835b1ab0b58a274df6be4872132f27193eed7f15f76ad6a1114dc3b,,P208,summary_script,P207 notes
paper/evidence/evidence_quality_notes_summary_p208.json,evidence,True,14506,9caeabde44d1eaad37aea0f2e1a944b8dbbc41ea74eda5b3d015deed03aafe2a,0,P208,quality_notes_summary_json,paper/evidence/raw_evidence_quality_notes_p207.csv
paper/evidence/evidence_quality_notes_blockers_p208.csv,evidence,True,186,fb8c22a24adc08c091b35bd0c727a676e06d63590dae1d3e9118aa6fdb0a4eb8,0,P208,quality_blockers_csv,paper/evidence/raw_evidence_quality_notes_p207.csv
paper/export/evidence_quality_notes_summary_p208.md,report,True,3974,e60619251eeced0399c7299e6f50e7535b00743d742912f06b857f7fc4ed311b,,P208,quality_notes_summary_report,paper/evidence/evidence_quality_notes_summary_p208.json
tools/test_evidence_quality_safety_p209.py,script,True,17823,c9c546f42478d6a0e382c873c1924599205cc9196f5e08273550a108733fd32a,,P209,safety_test_script,P207 notes;P208 summary behavior
paper/evidence/evidence_quality_safety_tests_p209.json,evidence,True,16232,2539ceb7b482c30becf85f7619bd5e0e844a62bade86906446f4fcd83cbc29e5,6,P209,safety_test_report_json,tools/test_evidence_quality_safety_p209.py;paper/evidence/raw_evidence_quality_notes_p207.csv
paper/export/evidence_quality_safety_tests_p209.md,report,True,1970,48a8ffcde06a9b13f9df85a07eb2c123c3012e97cb33aa388f9ee7683d642e64,,P209,safety_test_report_md,paper/evidence/evidence_quality_safety_tests_p209.json
tools/audit_evidence_note_ingestion_p210.py,script,True,22433,204399892a2d1a81a642eaa14b308f608e08b7c05a5201562bfc34735230434f,,P210,ingestion_audit_script,P207 notes;P208 validation
paper/evidence/evidence_note_ingestion_audit_p210.json,evidence,True,17021,38610f1c901201f30b7692ed9b9e87b4b57f135fd10fb9eb48e4b92b548bd630,32,P210,ingestion_audit_json,paper/evidence/raw_evidence_quality_notes_p207.csv
paper/evidence/evidence_note_ingestion_manifest_p210.csv,evidence,True,31852,ba94d197f611396080218c8424ccec3023dee3678cd6c4d1b030be42717fdd09,32,P210,quality_only_ingestion_manifest,paper/evidence/raw_evidence_quality_notes_p207.csv
paper/export/evidence_note_ingestion_audit_p210.md,report,True,2278,403b81a6d21dc0eb7a1b7603451078dbfa6f41f4d6c03e77108bc92fbd24c51d,,P210,ingestion_audit_report,paper/evidence/evidence_note_ingestion_audit_p210.json
